iEdison Field,iEdison Path,Required,iEdison Type,Length,iEdison Description,TTS Object,TTS API Name,TTS Label,Mapping Type,Transformation Notes
keywords,root,No,Array[String],80 each,Keywords for categorising the invention,—,—,—,Gap,No keyword/tag field in TTS. Could derive from Technology Category picklist as a stopgap.
isExceptionCircumstanceDetermination,root,No,Boolean,—,True if the funding agreement falls under Bayh-Dole exceptional circumstances,—,—,—,Gap,No equivalent in TTS. New checkbox field needed on Technology.
budgetIdentifiers[],root,No,Array[String],—,Budget identifier list for the report,—,—,—,Gap,No budget ID field in TTS.
institutionCodeForOtherInstitutions[],root,No,Array[String],—,Up to 3 additional institution codes granted view-only access,(org config),—,—,Config,Configuration-level setting; not per-record.
inventionStatus.titleElectionStatus,inventionStatus,Yes (on update),String,80,"Title election status: Under Evaluation, Elect to Retain Title, Does Not Retain Title, etc.",—,—,—,Gap,Critical Bayh-Dole compliance field. No equivalent in TTS. New picklist field needed on Technology.
inventionStatus.titleElectionDate,inventionStatus,No,String,10,Date of title election (auto-generated for org clients),—,—,—,Gap,New date field needed on Technology. Auto-populated by iEdison on org submissions.
inventionStatus.notElectTitleReason,inventionStatus,No,String,255,"Reason for not retaining title (see iEdison Section 12.7): Low Commercial Potential, Budget Limitation, Other, etc.",—,—,—,Gap,New picklist field needed on Technology.
inventionStatus.notElectTitleOtherReason,inventionStatus,No,String,255,Custom reason text when notElectTitleReason = Other,—,—,—,Gap,New text field on Technology (dependent on notElectTitleReason).
inventionStatus.dispositionStatus,inventionStatus,No,String,255,"Agency-controlled disposition: Government Retains Rights, Does Not Retain Rights, Assignment Approved, etc.",—,—,—,Agency Only,Set by federal agency. TTS does not supply; may store as read-only if syncing responses.
inventionStatus.dispositionRightsDate,inventionStatus,No,String,10,Date of disposition decision (agency sets this),—,—,—,Agency Only,Same as dispositionStatus — agency-controlled.
explanatoryNotes[].note,explanatoryNotes,No,String,500,Free-text notes about the invention for the agency,—,—,—,Derived,Could be sourced from Technology description fields or a dedicated Notes object. No direct mapping exists.
granteeOrganizationName,root,No,String,100,Organisation name (deprecated — system uses institutionCode),(org config),—,—,Config,Deprecated field; populate from org name if needed.
doesNumber,root,No,String,15,DOE S-number (agency users only; ignored for org submissions),—,—,—,Agency Only,Ignored for institution submissions.
